
Feb 11, 1970		125 - 115 
Jan 22, 1970 	 	122 - 108
Jan 2, 1970	 	 	125 - 95 
Dec 30, 1969	 	100 - 105 		
Nov 28, 1969		108 - 114 		
Nov 22, 1969	 	106 - 98 
Mar 12, 1969	 	 85 - 97 		
Mar 2, 1969	 	 	107 - 92 
Feb 2, 1969	 	 	117 - 122	
Feb 1, 1969	        106 - 101 	
Dec 20, 1968        133 - 101 
Nov 22, 1968         98 - 100 		
Nov 16, 1968         19 - 112 
Mar 13, 1968        142 - 106 
Mar 9, 1968	        137 - 132 	
Feb 16, 1968        116 - 118 		
Feb 9, 1968	 	    122 - 104 
Jan 20, 1968        151 - 122
Jan 2, 1968	        118 - 119 		
Nov 25, 1967        112 - 131 		
Nov 24, 1967        121 - 122 	 	
Mar 11, 1967        125 - 120 
Feb 21, 1967 	    133 - 136 		
Feb 3, 1967	        129 - 80 
Jan 11, 1967        141 - 126 
Jan 5, 1967	         91 - 122 		
Dec 20, 1966        107 - 130 		
Dec 9, 1966	        118 - 119 		
Nov 19, 1966        109 - 144 		
Nov 11, 1966         93 - 132 		
Mar 20, 1966        124 - 112 
Mar 19, 1966        119 - 125 		
Mar 5, 1966	        125 - 123 
Jan 21, 1966        109 - 120 		
Jan 14, 1966	    118 - 110
Dec 19, 1965	 	132 - 120 
Nov 20, 1965 	 	133 - 117 
Nov 19, 1965	 	135 - 124 
Oct 30, 1965	 	122 - 124 		
Oct 15, 1965	 	122 - 115 
Mar 20, 1965	 	 98 - 112 		
Mar 12, 1965	 	115 - 93 
Feb 13, 1965	 	129 - 105 
Feb 12, 1965	 	114 - 95 
Jan 31, 1965	 	 96 - 94 
Jan 30, 1965	 	109 - 99 
Dec 26, 1964	 	129 - 122 
Nov 28, 1964	 	106 - 109 		
Nov 7, 1964	 	 	130 - 103 
Oct 23, 1964	 	 94 - 92 
Mar 14, 1964	 	 95 - 111 		
Mar 13, 1964	 	112 - 109 
Mar 7, 1964	 	 	118 - 120 		
Feb 23, 1964	 	108 - 109 		
Jan 26, 1964	 	108 - 96 
Jan 25, 1964 	 	 95 - 120 		
Jan 24, 1964	 	118 - 100 
Jan 10, 1964	  	 89 - 114 		
Dec 8, 1963	 	 	112 - 114 		
Dec 6, 1963	 	 	110 - 101 
Nov 8, 1963	 	 	 93 - 90 
Nov 2, 1963	 	 	 99 - 118 		
Mar 16, 1963	 	111 - 105 	
Mar 12, 1963	 	110 - 116 		
Mar 2, 1963	 	 	113 - 122 		
Feb 19, 1963	 	109 - 111 		
Feb 16, 1963	 	118 - 122
Jan 12, 1963	 	119 - 114 
Jan 11, 1963 	 	134 - 129 
Dec 15, 1962	 	113 - 104 
Dec 14, 1962 	 	120 - 118 
Nov 23, 1962 	 	129 - 124 
Nov 7, 1962	 	 	132 - 108 
Nov 3, 1962	 	 	127 - 115 
Jan 3, 1962		 	124 - 123 
Jan 1, 1962		 	114 - 111 
Dec 29, 1961	 	118 - 123 		
Dec 8, 1961	 		151 - 147
Dec 2, 1961		 	129 - 119 
Dec 1, 1961		 	117 - 138 		
Nov 17, 1961	 	125 - 121 
Oct 20, 1961	 	115 - 122 		
Oct 19, 1961	 	118 - 113 
